id,replyCount,likeCount,publishedAt,text,translation,authorName,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName,,Pro-Hamas,Pro-Israel,Media Criticism,Anti-Israel,Anti-Hamas,Jihad Discourse,Critisim Other Arab States,,Support for Media
Ugwt1OBA_qZ9irL2DXV4AaABAg,0,0,2024-04-18 11:51:46,"Without Al Jazeera, a prominent news outlet known for its extensive coverage of global events, including those in regions like Gaza, we are left with a significant gap in our understanding of unfolding events. Al Jazeera's comprehensive reporting has provided valuable insights into the complex dynamics and ongoing struggles faced by communities in Gaza and beyond. Its absence means that crucial stories, perspectives, and voices may go unheard, hindering our ability to grasp the full picture of events and their implications. The lack of access to Al Jazeera's reporting underscores the importance of diverse and independent media sources in fostering informed discourse and understanding across borders.","Without Al Jazeera, a prominent news outlet known for its extensive coverage of global events, including those in regions like Gaza, we are left with a significant gap in our understanding of unfolding events. Al Jazeera's comprehensive reporting has provided valuable insights into the complex dynamics and ongoing struggles faced by communities in Gaza and beyond. Its absence means that crucial stories, perspectives, and voices may go unheard, hindering our ability to grasp the full picture of events and their implications. The lack of access to Al Jazeera's reporting underscores the importance of diverse and independent media sources in fostering informed discourse and understanding across borders.",@routinedays6604,UC_juUGCnESaT2UN-6zWA1MQ,http://www.youtube.com/@routinedays6604,0,,,,,,,,,,,,1
UgySrv9I2BQl7LXYF254AaABAg,0,0,2024-04-17 15:28:35,والله مشاهد تشفي الصدور رغم ما تعانه غزة العزة بعد 6 اشهر من انطلاق طوفان الاقصى لكن الله غالب على امره,"In spite of what Gaza is suffering 6 months after the Al-Aqsa flood, but God is victorious.",@naimamoujahad4968,UC5L83PtbCKzw6RQxn59FLUg,http://www.youtube.com/@naimamoujahad4968,0,,,,,,,,,,,,
UgwbilMBHvwsPRlFEcB4AaABAg,0,1,2024-04-16 00:02:08,🔻🔻🔻🔻🔻🔻🔻,🔻🔻🔻🔻🔻🔻🔻,@hamzamostafa5256,UCsA3lrBN2XcGVsXEwGs1-mA,http://www.youtube.com/@hamzamostafa5256,0,,,,,,,,,,,,
Ugzx_xuSz8HkZAAHttp4AaABAg,1,0,2024-04-13 23:59:59,خطأ فادح دفع ثمنه الأبرياء,A fatal mistake for which innocent people paid the price,@user-ti7dw4ri6t,UCWHF2gFYxPTpZqu1g8APp2g,http://www.youtube.com/@user-ti7dw4ri6t,0,,,,,,,,,,,,
Ugzx_xuSz8HkZAAHttp4AaABAg.A2Be0m2nDnWA2GcrVH2GfG,NA,0,2024-04-15 22:26:03,شرف قائم كان ثمنه الكرامة يا عبد,"A standing honor was the price of dignity, slave.",@EzToTakMe,UCL5rMj1qxEwXs4RRI7OaBNw,http://www.youtube.com/@EzToTakMe,1,Ugzx_xuSz8HkZAAHttp4AaABAg,@user-ti7dw4ri6t,,,,,,,,,,
UgygJBPyBQTCg3s19Ch4AaABAg,0,0,2024-04-13 00:25:27,اللهم انت ربي لا اله إلا انت خلقتني وانا عبدك وانا على عهدك و وعدك ما استطعت اعوذ بك من شر ماصنعت ابوء لك بنعمتك علي وابوء بذنبي فغفر لي فإنه لايغفر الذنوب الا انت.,"O Allah, you are my Lord, there is no God but you, you created me and I am your slave, and I am on your covenant and promise as long as I can, I seek refuge in you from the evil of what I have done.",@user-jq8bi6jc4i,UCbQ8bMesi2cuyn3oclr2IWA,http://www.youtube.com/@user-jq8bi6jc4i,0,,,,,,,,,,,,
UgwmhGlYguIo67nJPcB4AaABAg,0,0,2024-04-12 17:22:04,طبيعة السؤال الجهوي في المنطقة العربية وصراع الانتداب إبان الحكم العثماني ورغبة دول كفلسطين تسليم السلطة لفرنسا سنة ١٩٣٢ ادى لرسم خارطة طريق للحرب الاوسطية في بحر الخليج غداة الاتحاد في دولة الإمارات المصير الناتج ادى بعصبة الأمم لمنح السلطة الفلسطينية الحكم على أراضي ٥٤ الامر الذي تم مقابل خروج الإنجليز من ميناء أسوان سنة ٥٦ وهذا الحاصل بالذات هو مامنح الدول العربية الحق في طلب عضوية دولة فلسطين بمجلس الأمن سنة ١٩٩٦ مع إعطاء الأولوية لإنشاء حركة تحررية مستقلة للضغط على حركة فتح التى تنازلت عن مقدرات لدرء فتنة طائفية عام ٢٠٠٤.عدول القوات الأمنية الفلسطينية عن اتفاقيات أمنية مع تل أبيب ادي لنشأة فرق تصفية في الخليل والضفة الغربية قبيل ازمة الأسير رزان أمير المعتقل في الأردن.اعطاء دول كالسعودية وإيران الأولوية للصراع اليمني ادى لدخول أطراف أخرى داخل قطاع العمليات في الجييش الإسرائيلي,"The nature of the regional question in the Arab region and the conflict of the mandate during the Ottoman rule and the desire of countries such as Palestine to hand over power to France in 1932 led to the drawing of a road map for the Middle East War in the Gulf Sea following the union in the State of the Emirates The resulting fate led the League of Nations to grant the Palestinian Authority rule over the lands of 54, which was done in exchange for the British exit from Aswan port in 56, and this very fact is what gave the Arab countries the right to request membership for the State of Palestine in the Security Council in 1996, giving priority to creating an independent liberation movement to pressure Fatah, which ceded resources to prevent sectarian strife in 2004, the Palestinian security forces refrained",@tassaditzennouche-es1ml,UC5Iw51bUwykR4DeCZTzZgdQ,http://www.youtube.com/@tassaditzennouche-es1ml,0,,,,,,,,,,,,
UgxN0oyuWymVnzpHluV4AaABAg,0,0,2024-04-12 15:41:55,DIEU ASSISITE ET PROTEGE LES MOUDJAHIDINE PALESTINIENS,DIEU ASSISITE ET PROTEGE LES MOUDJAHIDINE PALESTINIENS,@user-gz4ow5fs4b,UC2u6E8hqi-wDnV64xSbFwBg,http://www.youtube.com/@user-gz4ow5fs4b,0,,,,,,,,,,,,
Ugz_9fTvfauqw4PQT5p4AaABAg,0,0,2024-04-12 04:59:19,✌️✌️✌️🇵🇸🇵🇸🇵🇸🇵🇸👍👍,✌️✌️✌️🇵🇸🇵🇸🇵🇸🇵🇸👍👍,@Asghar-gq2rv,UCzQFpqxCw3j3MlBgkH3pmZA,http://www.youtube.com/@Asghar-gq2rv,0,,,,,,,,,,,,
UgxN7VaFXL6VnC_vmah4AaABAg,0,1,2024-04-11 04:18:31,هذا ليس طوفان بل موامر إسرائيلية إيرانية. بي أيادي عناصر شباب فلسطينيه. مخدوعين بقياديهم العملاء ايران الإسرائيلية,"This is not a flood but an Israeli-Iranian conspiracy. By the hands of Palestinian youth elements. Deluded by their leaders, Iranian-Israeli agents",@user-qs7vv9kc6u,UCUGdOlKVGJc87BopeTUSmMQ,http://www.youtube.com/@user-qs7vv9kc6u,0,,,,,,,,,,,,
